id;name;description;type;objectives;rewards;prerequisiteQuests;followUpQuests;autoAccept;autoAcceptCondition;autoComplete;repeatable;maxRepeatCount;unlockLevel;unlockChapter;hidden;icon;sortOrder;group;battlePassExp;activityPoints;dailyLimit
daily_pvp;PVP切磋;完成1次PVP切磋;daily;"[[""obj_pvp"",""pvpBattle"",1]]";;[];[];true;;true;true;0;1;;false;icon_quest_daily;1;daily_pvp;5;10;2
daily_explore;副本探索;完成1次副本探索;daily;"[[""obj_explore"",""exploreInstance"",1]]";;[];[];true;;true;true;0;1;;false;icon_quest_daily;2;daily_explore;10;20;3
daily_login;每日登录签到;登录游戏;daily;"[[""obj_login"",""login"",1]]";;[];[];true;;true;true;0;1;;false;icon_quest_daily;0;daily_login;5;10;1
daily_share;每日分享游戏;分享游戏给好友;daily;"[[""obj_share"",""shareGame"",1]]";;[];[];true;;true;true;0;1;;false;icon_quest_daily;3;daily_share;5;10;1
daily_climb_tower;挑战试炼塔;成功挑战一次试炼塔;daily;"[[""obj_climbTower"",""climbTower"",1]]";;[];[];true;;true;true;0;1;;false;icon_quest_daily;4;daily_climb_tower;10;10;1
main_001;选择学院;选择你想要加入的元素魔法学院;main;"[[""dialog_1"",""completeDialog"",1,""1""]]";"[[""item"",4,120]]";[];"[""main_002""]";true;;true;false;0;1;;false;icon_quest_main;100;main;0;0;0
main_002;新手教学;完成入学仪式，学习元素魔法的基础知识;main;"[[""dialog_2"",""completeDialog"",1,""2""]]";"[[""item"",4,120]]";"[""main_001""]";"[""main_learn_shop""]";true;;true;false;0;1;;false;icon_quest_main;101;main;0;0;0
main_learn_shop;商店教学;学习商店的使用方法;main;"[[""tutorial_shop"",""completeTutorial"",1,""shop""]]";"[[""item"",4,120]]";"[""main_002""]";"[""main_learn_inventory""]";true;;true;false;0;1;;false;icon_quest_main;102;main;0;0;0
main_learn_inventory;背包教学;学习背包的使用方法;main;"[[""tutorial_inventory"",""completeTutorial"",1,""inventory""]]";"[[""item"",4,120]]";"[""main_learn_shop""]";"[""main_learn_skill_learn""]";true;;true;false;0;1;;false;icon_quest_main;103;main;0;0;0
main_learn_skill_learn;学习技能学习;学习技能学习;main;"[[""tutorial_skill_learn"",""completeTutorial"",1,""skill_learn""]]";"[[""item"",4,120]]";"[""main_learn_inventory""]";"[""main_003""]";true;;true;false;0;1;;false;icon_quest_main;104;main;0;0;0
main_003;首次外勤;调查「衡枢牌门」的异常情况，通关「衡枢牌门」副本;main;"[[""instance_1"",""completeInstance"",1,""heng_shu_pai_men""]]";"[[""item"",4,120]]";"[""main_learn_skill_learn""]";"[""main_004""]";true;;true;false;0;1;;false;icon_quest_main;105;main;0;0;0
main_004;保卫五行祠;清理「五行祠」附近出没的怪物，通关「五行祠」副本;main;"[[""instance_2"",""completeInstance"",1,""wu_xing_ci""]]";"[[""item"",4,120]]";"[""main_003""]";"[""main_005""]";true;;true;false;0;1;;false;icon_quest_main;106;main;0;0;0
main_005;临潮海湾;前往临潮海湾，清理那里的怪物;main;"[[""instance_3"",""completeInstance"",1,""lin_chao_hai_wan""]]";"[[""item"",4,120]]";"[""main_004""]";"[""main_006""]";true;;true;false;0;1;;false;icon_quest_main;107;main;0;0;0
main_006;升到二年级;复刷已经开放的副本，升到10级并且完成升二年级的挑战;main;"[[""level_10"",""reachLevel"",10],[""obj_challenge_2"",""triggerEvent"",1,""grade_promotion"",2]]";"[[""item"",4,120]]";"[""main_005""]";"[""main_007""]";true;;true;false;0;1;;false;icon_quest_main;108;main;0;0;0
main_007;寒岩隘口;穿越寒岩隘口，确保道路畅通;main;"[[""instance_4"",""completeInstance"",1,""han_yan_ai_kou""]]";"[[""item"",4,120]]";"[""main_006""]";"[""main_008""]";true;;true;false;0;1;;false;icon_quest_main;109;main;0;0;0
main_008;石垣旧矿道;深入石垣旧矿道，清理其中的异化生物;main;"[[""instance_5"",""completeInstance"",1,""shi_yuan_jiu_kuang_dao""]]";"[[""item"",4,120]]";"[""main_007""]";"[""main_009""]";true;;true;false;0;1;;false;icon_quest_main;110;main;0;0;0
main_009;五行桥遗址;前往五行桥遗址，修复残留的元素回路;main;"[[""instance_6"",""completeInstance"",1,""wu_xing_qiao_yi_zhi""]]";"[[""item"",4,120]]";"[""main_008""]";"[""main_010""]";true;;true;false;0;1;;false;icon_quest_main;111;main;0;0;0
main_010;符阵弃庭;清理符阵弃庭的残阵，防止威胁扩散;main;"[[""instance_7"",""completeInstance"",1,""fu_zhen_qi_ting""]]";"[[""item"",4,120]]";"[""main_009""]";[];true;;true;false;0;1;;false;icon_quest_main;109;main;0;0;0